,url,privacyStatus,licensedContent,license
wzQs3IuJtmY,https://youtu.be/wzQs3IuJtmY,public,False,youtube
tBrxJMwLdfA,https://youtu.be/tBrxJMwLdfA,public,False,youtube
IigXYyw1WRs,https://youtu.be/IigXYyw1WRs,public,True,youtube
FbMmdVdKT24,https://youtu.be/FbMmdVdKT24,public,False,youtube
zVrFxlV2GSo,https://youtu.be/zVrFxlV2GSo,public,False,youtube
MfvghiAzt70,https://youtu.be/MfvghiAzt70,public,False,youtube
OOrt72vZRc8,https://youtu.be/OOrt72vZRc8,public,False,youtube
ECMV6PcuBgs,https://youtu.be/ECMV6PcuBgs,public,True,youtube
BxH-fYBHggI,https://youtu.be/BxH-fYBHggI,public,True,youtube
jSX7_paIBpY,https://youtu.be/jSX7_paIBpY,public,False,youtube
rong9q868QE,https://youtu.be/rong9q868QE,public,False,youtube
qCJTmw1h0aE,https://youtu.be/qCJTmw1h0aE,public,False,youtube
gcUW3so4dnI,https://youtu.be/gcUW3so4dnI,public,True,youtube
bEXeNRQJTrI,https://youtu.be/bEXeNRQJTrI,public,True,youtube
tRTf80C_Mwo,https://youtu.be/tRTf80C_Mwo,public,True,youtube
aylR3GTN_G4,https://youtu.be/aylR3GTN_G4,public,False,youtube
-IPEZY1Cl48,https://youtu.be/-IPEZY1Cl48,public,False,youtube
3snEBpWjM8s,https://youtu.be/3snEBpWjM8s,public,False,youtube
cMhK95n7_1k,https://youtu.be/cMhK95n7_1k,public,False,youtube
qH545TpcFRQ,https://youtu.be/qH545TpcFRQ,public,True,youtube
TJQXWw4Wl28,https://youtu.be/TJQXWw4Wl28,public,False,youtube
eTMYRgaysyE,https://youtu.be/eTMYRgaysyE,public,False,youtube
nmiA6kz_P0I,https://youtu.be/nmiA6kz_P0I,public,True,youtube
Tgl51EsJ-zU,https://youtu.be/Tgl51EsJ-zU,public,True,youtube
h07AIkRxmzA,https://youtu.be/h07AIkRxmzA,public,True,youtube
ZdkpfpuCGzM,https://youtu.be/ZdkpfpuCGzM,public,True,youtube
aJ6eb2pXvOg,https://youtu.be/aJ6eb2pXvOg,public,True,youtube
V2Sp6V3wbyU,https://youtu.be/V2Sp6V3wbyU,public,True,youtube
M3dRSE4j8zQ,https://youtu.be/M3dRSE4j8zQ,public,True,youtube
EtEoB9bWER8,https://youtu.be/EtEoB9bWER8,public,True,youtube
Ed2zKpQm4-c,https://youtu.be/Ed2zKpQm4-c,public,True,youtube
CRx85-q08y4,https://youtu.be/CRx85-q08y4,public,False,youtube
lh8y7YZlyzE,https://youtu.be/lh8y7YZlyzE,public,True,youtube
jbTaVw9X7fs,https://youtu.be/jbTaVw9X7fs,public,False,youtube
mL_dVpmtA5Y,https://youtu.be/mL_dVpmtA5Y,public,True,youtube
D8ZhkToa3l4,https://youtu.be/D8ZhkToa3l4,public,True,youtube
f7pg0QeXls8,https://youtu.be/f7pg0QeXls8,public,True,youtube
Iy_vEjINBpI,https://youtu.be/Iy_vEjINBpI,public,False,youtube
jDYyjw6ojlk,https://youtu.be/jDYyjw6ojlk,public,False,youtube
b7iJbj8tkUw,https://youtu.be/b7iJbj8tkUw,public,True,youtube
fOjO_szyqds,https://youtu.be/fOjO_szyqds,public,True,youtube
lHnDDgMUgtI,https://youtu.be/lHnDDgMUgtI,public,False,youtube
uw9cLrQM1Pk,https://youtu.be/uw9cLrQM1Pk,public,True,youtube
LEpyhZ5rQLs,https://youtu.be/LEpyhZ5rQLs,public,True,youtube
5i2frhQKn-g,https://youtu.be/5i2frhQKn-g,public,False,youtube
ECWGcmvZpV8,https://youtu.be/ECWGcmvZpV8,public,False,youtube
nkP4yVwOhCI,https://youtu.be/nkP4yVwOhCI,public,True,youtube
gFEIKBDdGcw,https://youtu.be/gFEIKBDdGcw,public,True,youtube
GY6taj-Jq6c,https://youtu.be/GY6taj-Jq6c,public,True,youtube
F8Z6uFof2hc,https://youtu.be/F8Z6uFof2hc,public,False,creativeCommon
XLa7-yEe6mw,https://youtu.be/XLa7-yEe6mw,public,False,youtube
XE3X-qojbN0,https://youtu.be/XE3X-qojbN0,public,True,youtube
mCDhahtg5zY,https://youtu.be/mCDhahtg5zY,public,False,youtube
VVIocpGPtCk,https://youtu.be/VVIocpGPtCk,public,False,youtube
Qy5I9LWfb2I,https://youtu.be/Qy5I9LWfb2I,public,True,youtube
0IN4lypb0Fg,https://youtu.be/0IN4lypb0Fg,public,True,youtube
pwGtAWV1qE0,https://youtu.be/pwGtAWV1qE0,public,True,youtube
bpZFp9-u77s,https://youtu.be/bpZFp9-u77s,public,True,youtube
dkFCC8IjL0U,https://youtu.be/dkFCC8IjL0U,public,True,youtube
udGKzhJf17s,https://youtu.be/udGKzhJf17s,public,False,youtube
w2qJ7JFQKhA,https://youtu.be/w2qJ7JFQKhA,public,True,youtube
CF5_Q58quH0,https://youtu.be/CF5_Q58quH0,public,True,youtube
BgE6rIK_Kcg,https://youtu.be/BgE6rIK_Kcg,public,False,youtube
uHnJcomdUJw,https://youtu.be/uHnJcomdUJw,public,True,youtube
iIv_vWPcC6g,https://youtu.be/iIv_vWPcC6g,public,True,youtube
oqNfj5rXj74,https://youtu.be/oqNfj5rXj74,public,True,youtube
SBmgYkaZk1Q,https://youtu.be/SBmgYkaZk1Q,public,True,youtube
s3OHU9uA6ok,https://youtu.be/s3OHU9uA6ok,unavailable,unavailable,unavailable
YZ3CTiWiCoM,https://youtu.be/YZ3CTiWiCoM,public,False,youtube
v4j1CLIiUfA,https://youtu.be/v4j1CLIiUfA,public,True,youtube
FSRXqtklheY,https://youtu.be/FSRXqtklheY,public,True,youtube
srZUrDiO3z4,https://youtu.be/srZUrDiO3z4,public,False,youtube
DPPVML2t3RU,https://youtu.be/DPPVML2t3RU,public,False,youtube
-p65-uZ9dpY,https://youtu.be/-p65-uZ9dpY,public,False,youtube
GeUlKnt2lAY,https://youtu.be/GeUlKnt2lAY,public,False,youtube
nLwHFZWZbqw,https://youtu.be/nLwHFZWZbqw,public,False,youtube
yWOiRH99s4M,https://youtu.be/yWOiRH99s4M,public,True,youtube
nEiJEssX4X8,https://youtu.be/nEiJEssX4X8,public,True,youtube
-ze1bHnqOt0,https://youtu.be/-ze1bHnqOt0,public,False,youtube
9uWKo_0ajnw,https://youtu.be/9uWKo_0ajnw,public,False,youtube
-j2UvqqeFag,https://youtu.be/-j2UvqqeFag,public,True,youtube
A0oQYJUJWE4,https://youtu.be/A0oQYJUJWE4,public,False,youtube
y3hSkTvFS-o,https://youtu.be/y3hSkTvFS-o,public,True,youtube
-ogZNJy2IOY,https://youtu.be/-ogZNJy2IOY,public,True,youtube
ASSf3MGJLsI,https://youtu.be/ASSf3MGJLsI,public,True,youtube
rbF_ec0BYt4,https://youtu.be/rbF_ec0BYt4,public,False,youtube
I82N9I_SVmM,https://youtu.be/I82N9I_SVmM,public,False,youtube
bE6FxjPbYcc,https://youtu.be/bE6FxjPbYcc,public,False,youtube
DIesiEj4XEw,https://youtu.be/DIesiEj4XEw,public,False,youtube
CnHl9Zr_07Y,https://youtu.be/CnHl9Zr_07Y,public,False,youtube
qjg8n42JpUk,https://youtu.be/qjg8n42JpUk,public,False,youtube
-kurcgdWyd4,https://youtu.be/-kurcgdWyd4,public,False,youtube
1ywWjh5QIUI,https://youtu.be/1ywWjh5QIUI,public,False,youtube
Stj8HI7SGQc,https://youtu.be/Stj8HI7SGQc,public,False,youtube
6GClmyvxhg8,https://youtu.be/6GClmyvxhg8,public,False,youtube
9WLJ6hM1Fbw,https://youtu.be/9WLJ6hM1Fbw,public,True,youtube
juX8DV7E6NE,https://youtu.be/juX8DV7E6NE,public,False,youtube
yqtjLxGDSC4,https://youtu.be/yqtjLxGDSC4,public,False,youtube
iiKMpDhTRlA,https://youtu.be/iiKMpDhTRlA,public,False,youtube
hAEyA2PmEYc,https://youtu.be/hAEyA2PmEYc,public,False,youtube
0RJuAEElD9Y,https://youtu.be/0RJuAEElD9Y,public,True,youtube
kMzfKYxTDM8,https://youtu.be/kMzfKYxTDM8,public,False,youtube
-lUF2ETF_TM,https://youtu.be/-lUF2ETF_TM,public,True,youtube
sqHqLV1E8xw,https://youtu.be/sqHqLV1E8xw,public,False,youtube
X55QJv8Wo84,https://youtu.be/X55QJv8Wo84,public,False,youtube
MGwOvYiaOP8,https://youtu.be/MGwOvYiaOP8,public,True,youtube
0UuRK25rETM,https://youtu.be/0UuRK25rETM,public,True,youtube
LJ4p_zspisA,https://youtu.be/LJ4p_zspisA,public,True,youtube
0yVyc475xc4,https://youtu.be/0yVyc475xc4,public,True,youtube
gDxelW5Y6kg,https://youtu.be/gDxelW5Y6kg,public,True,youtube
r7Zf8PEf310,https://youtu.be/r7Zf8PEf310,public,False,youtube
rZRoCSDBER8,https://youtu.be/rZRoCSDBER8,public,False,youtube
YyR39JW412w,https://youtu.be/YyR39JW412w,public,False,youtube
SFdHda2_4Tw,https://youtu.be/SFdHda2_4Tw,public,False,youtube
8JkyApQfDVc,https://youtu.be/8JkyApQfDVc,public,False,youtube
_2ytLHBkxSM,https://youtu.be/_2ytLHBkxSM,public,False,youtube
-Y2GzxS_zqg,https://youtu.be/-Y2GzxS_zqg,public,False,youtube
